added at,release date,name,album,artist(s),id
2019-01-26T18:35:30+00:00,2014-04-08,Ocean's Deep,Birthmarks (Deluxe Edition),Born Ruffians,spotify:track:1tdRY0VeyoaFL5nG6eUzRD
2019-01-26T18:24:33+00:00,2017-02-14,Sorry (Not Sorry),Sorry (Not Sorry),AMZY,spotify:track:7LBxCbQDYcOtZJATCkfthi
2019-01-17T04:58:54+00:00,2011-07-12,I Can Breathe Again,Seasons,Baywood,spotify:track:19sgg0Li7kA20YIR1NLb2K
2019-01-17T03:35:30+00:00,2014-05-06,Alienation,Pure Adulterated Joy,Morning Parade,spotify:track:54Jan0Hqp63H3X1XZdNP5a
2019-01-17T03:31:39+00:00,2014-02-24,"Take Yours, I'll Take Mine",The Home We Built (Deluxe Edition),Matthew Mole,spotify:track:4c2Zdtqy5x9BkhTSJRTDmk
2019-01-17T03:16:56+00:00,2013-06-04,House On Fire,House On Fire,Black Taxi,spotify:track:7pl30mofobKmI0a8EWzTyI
2019-01-17T03:07:49+00:00,2012-09-25,Grapevine Valentine,A Beating Heart Is a Bleeding Heart,Kingsfoil,spotify:track:0r2vPIbVws8qESpX99Ii4H
2019-01-17T02:57:05+00:00,2009-03-24,Sweet Disposition,Conditions,The Temper Trap,spotify:track:5RoIXwyTCdyUjpMMkk4uPd
2019-01-17T02:53:30+00:00,2016-02-26,29,Drinking from a Salt Pond,Run River North,spotify:track:7AIe2twHZwBsYe76lJtUee
2019-01-17T02:48:27+00:00,2012-01-24,Give Me To The Waves,Give Me to the Waves,General Ghost,spotify:track:2YEsNA9ujFAdRXb5QQ3uel
2019-01-17T02:34:18+00:00,2007-03-12,Great Vacation,The Cage,Dirt Poor Robins,spotify:track:4wR2cuDiIkxj5w3yAflqGG
2019-01-17T02:34:16+00:00,2015-03-17,Don't Run,The Mess Remade,Bad Veins,spotify:track:3xH4yhksVN6bGsq5BIZPSH
2019-01-17T02:25:36+00:00,2013-08-06,Strange Town,Colour,The Moderates,spotify:track:3JjmSjijPsu3AWei1adplt
2019-01-17T02:22:32+00:00,2009-01-01,It's Only Wednesday,Crash Kings,Crash Kings,spotify:track:26MEeaO5tkVJmOG7ZVgVap
2019-01-17T02:18:13+00:00,2015-08-18,All We Have Is Now,Original Motion Picture Soundtrack,The Modern Electric,spotify:track:0vvP8kCXvar3wvMi4xnCzG
2019-01-17T02:14:30+00:00,2015-09-04,Oceans - New 2015 single version,Coasts,Coasts,spotify:track:71nvXPQMmYflxqil6Q9ehh
2019-01-17T02:10:35+00:00,2012-11-14,Away,Death of a Friend,Trapdoor Social,spotify:track:3Wk0MHGXFj2CO6c8F70FGx
2019-01-17T02:10:33+00:00,2014-01-01,Wishing Wells,The Colourist,The Colourist,spotify:track:6aAwVy5Hzf44HaXlG6INFO
2019-01-17T02:02:53+00:00,2015-01-16,Smile,Time (Spotify Exclusive),Mikky Ekko,spotify:track:0HC0DQfCneEYFMRYCG9m4s
2019-01-17T02:01:24+00:00,2016-04-19,Michigan,Michigan,Arms Akimbo,spotify:track:6XG02pAJ3o728BlMYPedKI
2019-01-17T01:56:09+00:00,2014-07-29,Please Leave A Light On When You Go,Beck Song Reader,fun.,spotify:track:2lRY2cUGU9fmFW5z9anYdB
2018-12-31T20:54:03+00:00,2012-01-01,Moving In The Dark,Picture Show (Deluxe Edition),Neon Trees,spotify:track:41aZ4UnmiyfQhPGtlWBah6
2018-12-26T03:39:53+00:00,2014-01-21,Thread,Young Blood EP,Saint Raymond,spotify:track:5rL3aESgIlCA0n0SWHaUlB
2018-12-23T22:15:55+00:00,2017-03-17,Firebird,Blossom (Deluxe),Milky Chance,spotify:track:7HFJ3tFuZcewzkQglQOtTZ
2018-12-23T22:11:43+00:00,2014-08-22,Blood Hands,Royal Blood,Royal Blood,spotify:track:0u2W89AQvH3sDVg7UX6YOT
2018-12-23T18:00:57+00:00,2005-09-27,But It's Better If You Do,A Fever You Can't Sweat Out,Panic! At The Disco,spotify:track:6cZSRZJfYKvNzUo8ZNUy81
2018-12-23T17:01:43+00:00,2014-01-01,Forgive & Forget,Listen,The Kooks,spotify:track:6TtWeGBbjKxAbsnXSnSjeO
2018-12-17T22:50:15+00:00,2013-01-08,Semi-Automatic,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:60U90nlaUsfUJtUF0AhVwB
2018-12-17T21:54:23+00:00,2018-06-22,One of the Drunks,Pray for the Wicked,Panic! At The Disco,spotify:track:5trCWbYtza0QUxdmF9HAPX
2018-12-16T18:57:00+00:00,2018-10-31,Time Is Up,Am I A Girl?,Poppy+Diplo,spotify:track:1a4CA0tFvzwUrx8UxwoU64
2018-12-14T23:49:01+00:00,2013-01-08,Guns for Hands,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:04rkWgfd6v9xXMAHBVP9Sr
2018-12-14T00:29:13+00:00,1999-06-08,Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers,spotify:track:64BbK9SFKH2jk86U3dGj2P
2018-12-14T00:05:11+00:00,2012-08-07,Wires,I'm Sorry...,The Neighbourhood,spotify:track:4ObATYHHvXXlJJQ4rPKU2s
2018-12-13T23:43:56+00:00,2013-04-19,Afraid,I Love You.,The Neighbourhood,spotify:track:7brQHA2CgQpcMBiOlfiXYb
2018-12-13T20:49:44+00:00,2013-01-08,The Run and Go,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:6aYlLX7TGGVF7FwVCMIocG
2018-12-10T23:41:52+00:00,2017-06-01,Love,Love,The Max Meser Group,spotify:track:2z6TSD1bx3euNR8MyL2X3F
2018-12-09T18:30:23+00:00,2007-09-25,Just Feel Better (feat. Steven Tyler),Ultimate Santana,Santana+Steven Tyler,spotify:track:7xq4NAM0ukz7QqK0cBqpzt
2018-12-09T18:30:20+00:00,2007-09-25,Everybody's Everything,Ultimate Santana,Santana,spotify:track:2xFF4RbnTYnVpgcKqCJYfZ
2018-12-09T18:22:43+00:00,2013-01-08,Screen,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:37BA99oFGGslzmbGwb88BT
2018-11-26T19:32:53+00:00,2013-04-19,W.D.Y.W.F.M?,I Love You.,The Neighbourhood,spotify:track:3vooOYHU0Fi3ViCG7Ozh0Y
2018-11-26T19:05:31+00:00,2010-02-07,What You Know,Tourist History,Two Door Cinema Club,spotify:track:1qfYG2JrchEyJiqKnkE7YQ
2018-11-26T19:01:13+00:00,2016-04-08,Sing Along,Change,The Max Meser Group,spotify:track:1d8jhtKaaUFWGTvoV16U5f
2018-11-26T18:42:38+00:00,2014-01-01,Around Town,Listen,The Kooks,spotify:track:2FaWQz2vMNS788ZlxyhGpO
2018-11-26T15:14:33+00:00,2016-01-15,"Make The Call, Leave It All",O,De Staat,spotify:track:6ZHwjIHvruCVvBBhQ4KUUR
2018-11-26T14:23:28+00:00,2015-05-04,Ditmas,Wilder Mind,Mumford & Sons,spotify:track:2jyXGIL2uLOsMaWdxD9D2P
2018-11-26T12:56:31+00:00,2014-01-01,Day Is Done,Passing Through,Chef'Special,spotify:track:1SPvwS32xpdrxJtAzVADyW
2018-11-25T22:55:53+00:00,2015-05-15,Hometown,Blurryface,Twenty One Pilots,spotify:track:40sRwFjfrRnaTdYPJIg4CP
2018-11-17T03:53:20+00:00,2015-05-15,Tear in My Heart,Blurryface,Twenty One Pilots,spotify:track:3bnVBN67NBEzedqQuWrpP4
2018-11-17T03:42:08+00:00,2009-12-29,Addict With A Pen,Twenty One Pilots,Twenty One Pilots,spotify:track:4bk6v5SBxNoVsbOvdOvUAJ
2018-11-17T03:37:27+00:00,2009-12-29,Oh Ms Believer,Twenty One Pilots,Twenty One Pilots,spotify:track:3FvV3j98xtcylQF1drDc9j
2018-11-17T03:33:31+00:00,2009-12-29,Fall Away,Twenty One Pilots,Twenty One Pilots,spotify:track:77vDHmiANW3JS2gNN5q7pI
2018-11-17T03:28:43+00:00,2009-12-29,Implicit Demand For Proof,Twenty One Pilots,Twenty One Pilots,spotify:track:3UaFnnUo80mv431WHEzaj9
2018-11-16T20:26:35+00:00,2013-01-08,Fake You Out,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:6cHYuLc3W90bBlpgCQv2bs
2018-11-14T01:21:17+00:00,2018-06-19,You're Somebody Else,You're Somebody Else,flora cash,spotify:track:0pdKRp2sUthTPe7RLWpPqQ
2018-11-09T02:43:04+00:00,1988-04-05,Fast Car,Tracy Chapman,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo
2018-10-29T01:34:16+00:00,2015-09-25,Hurricane,Hamilton (Original Broadway Cast Recording),Lin-Manuel Miranda+Original Broadway Cast of Hamilton,spotify:track:16sNPUamj4vnA7uQLozRpU
2018-10-25T22:13:54+00:00,2016-01-15,So Many Clouds,Shlow Motion,oomiee,spotify:track:0PSpRs2U9JDabYzC4W04K8
2018-10-16T23:31:04+00:00,2017-10-13,Millionaire,Ten Add Ten: The Very Best of Scouting For Girls,Scouting For Girls,spotify:track:6vr3069z1vir3jgOuA8mwu
2018-10-16T19:29:43+00:00,2015-05-05,Songs I Can't Listen To,Songs I Can't Listen To,Neon Trees,spotify:track:1WMBlpjhd3AUQiNfJOzfIl
2018-10-03T13:33:42+00:00,1979-01-01,"Rainbow Connection - From ""The Muppet Movie""/Soundtrack Version",The Muppet Movie (Original Motion Picture Soundtrack),Kermit,spotify:track:4Fx3LVYQXplhz70cfoqbgq
2018-09-22T19:29:21+00:00,1993-11-15,Could It Be Another Change,The Samples,The Samples,spotify:track:50kciHpxC7QyJQujF2LUiF
2018-09-17T20:49:36+00:00,2010-05-11,Majestic,La La Land,Wax Fang,spotify:track:5yzxbU3DPhyfQvBBJExzb7
2018-09-17T01:30:07+00:00,2003-02-19,Such Great Heights,Give Up,The Postal Service,spotify:track:3iDK8BAaBUatPR84gdfa9g
2018-09-17T01:10:36+00:00,2016-03-28,Smells Like Summer,Smells Like Summer,Early Hours,spotify:track:0ir8h6HSxpbCgAlfv1RKPb
2018-09-17T01:06:10+00:00,2011-06-21,Vibe,Color,Coyote Theory,spotify:track:1y1PtYSsNMPqSFXv2lwYb9
2018-09-17T01:05:38+00:00,2016-04-12,Careless,Careless,Vacation Manor,spotify:track:0CkL738rHG8bfKfZQWNYze
2018-09-17T00:46:58+00:00,2009-06-09,Blue Lips,Far,Regina Spektor,spotify:track:4HnS7CZWjd8PTQZkh3E1ai
2018-09-17T00:38:54+00:00,2001-08-29,Still Fighting It,Rockin' The Suburbs,Ben Folds,spotify:track:17VdFYdW18VZgyZdXTuvHg
2018-09-17T00:35:05+00:00,2017-07-17,Dear McCracken,Dear McCracken,Bug Hunter,spotify:track:4rFCtVSxMGoWHl0qhXlmBy
2018-09-17T00:28:50+00:00,2013-02-26,So It Goes,White Paint,Hollerado,spotify:track:6ZP0QEW5fGZsHeg38HFeJC
2018-09-17T00:23:54+00:00,2017-09-29,Close Your Eyes,Close Your Eyes,The Midnight Club ,spotify:track:6n3zgutRC74CEwYATTzE72
2018-09-17T00:15:30+00:00,2013-01-01,Get Me Golden,Ya Never Know,Terraplane Sun,spotify:track:4Fb5Z7sMoFqdisaJBq7Q4u
2018-09-17T00:01:18+00:00,2013-02-18,Trojans,When It Was Now,Atlas Genius,spotify:track:0wDEiGfq4pw7FAkYKpkwMo
2018-09-16T23:58:33+00:00,2013,Growing Old on Bleecker Street,Living Room,AJR,spotify:track:3n622hniaMFIJ6Dbf6B1WS
2018-09-16T23:55:37+00:00,2016-04-22,Wild + Free,Wake,Andrew Simple,spotify:track:7yeH7oQceWmQVudfYjkyjM
2018-09-16T15:09:25+00:00,2013-02-16,Adventure Time,Grow,Bry,spotify:track:2IG7lgjHtvF8KtkK5y5GgX
2018-09-16T15:03:05+00:00,2009-10-05,Savannah,Forget And Not Slow Down,Relient K,spotify:track:5xJII9WBtF4YwKeTsymO6P
2018-09-16T14:10:54+00:00,2005,Rewind,Tally Of The Yes Men,Goldspot,spotify:track:1DQrPZrUcoHteMEt69XTeW
2018-09-16T14:07:30+00:00,2013-05-14,The Optimist,The Optimist,City Rain,spotify:track:5zDWu8LEI1Aa4bUYEkOLaz
2018-08-12T03:34:06+00:00,2005-02-23,Jerk It Out - New Brauer Mix,Paper Tigers,Caesars,spotify:track:1ku77ubFH9XxOhLkIFF56s
2018-07-29T16:44:11+00:00,2016-03-11,Water Falls,Black Box,Air Traffic Controller,spotify:track:4sa4dgw8DQIPp0qR7kgj3V
2018-07-29T16:31:57+00:00,2012-06-26,Pick Me Up,NORDO,Air Traffic Controller,spotify:track:0vzlsC3702aXEVFQkzQG9j
2018-07-29T16:21:00+00:00,2009-12-08,"Test 1, 2",The One,Air Traffic Controller,spotify:track:0xHTTy2xujEwvjT3fqHN5t
2018-07-29T16:16:21+00:00,2009-12-08,Foot of the Bed,The One,Air Traffic Controller,spotify:track:5LOSHIdB6WJpxIxAmoQkgy
2018-07-29T16:07:58+00:00,2016-03-11,Island,Black Box,Air Traffic Controller,spotify:track:5abuhvOLWJhl8ledWz0rgg
2018-07-29T15:43:38+00:00,2016-03-11,Warrior,Black Box,Air Traffic Controller,spotify:track:7lMXkExuJGmiqWC5jA6X9t
2018-07-29T15:42:06+00:00,2009-12-08,Rain Song,The One,Air Traffic Controller,spotify:track:47mvi8pVNsW92abDaH3k9E
2018-07-29T15:33:58+00:00,2017-06-23,After Party,Echo Papa,Air Traffic Controller,spotify:track:1Bu2sGIK0oPfqTRRUm1GuX
2018-07-29T15:25:10+00:00,2009-12-08,Brightest Moon,The One,Air Traffic Controller,spotify:track:0kAZWyVQACSP3LAfr7ADEB
2018-07-29T15:16:31+00:00,2012-06-26,Blame,NORDO,Air Traffic Controller,spotify:track:75DtJBMwCXqjLz1bXS1tVr
2018-07-29T15:09:38+00:00,2016-03-11,People Watching,Black Box,Air Traffic Controller,spotify:track:0sF4M6WIH6yqzR8ijc8nON
2018-07-29T14:46:40+00:00,2012-06-26,Pick Me Up,Nordo,Air Traffic Controller,spotify:track:79uuGIdXuzA5yeSx6vNzij
2018-07-29T14:39:45+00:00,2012-06-26,"Hurry, Hurry",Nordo,Air Traffic Controller,spotify:track:5uyRkr9cH64kAGh632Sj1T
2018-07-29T14:36:24+00:00,2017-06-23,Book Smart,Echo Papa,Air Traffic Controller,spotify:track:6RNcATgfTW71TApATWsgJT
2018-07-29T14:21:44+00:00,2012-06-26,Different,NORDO,Air Traffic Controller,spotify:track:3ktNaFYKkoGXSRU4BosbZ4
2018-07-29T14:07:26+00:00,2015-05-26,On The Wire,On The Wire,Air Traffic Controller,spotify:track:4LqI6VMKsAfvxCpepSiMyQ
2018-07-29T14:02:44+00:00,2016-03-11,Are You with Me?,Black Box,Air Traffic Controller,spotify:track:2VolGfe4hnf8SmMC83sng7
2018-07-29T13:57:15+00:00,2016-03-11,What You Do to My Soul,Black Box,Air Traffic Controller,spotify:track:09qyIW5B7MuNUxQnDIZfVG
2018-07-29T13:52:33+00:00,2017-06-23,Keeping Bees,Echo Papa,Air Traffic Controller,spotify:track:7eNivp2gBtMyPJqnKg7PXX
2018-07-29T13:45:08+00:00,2016-03-11,Phantom,Black Box,Air Traffic Controller,spotify:track:2ow4hXxG1J25uJNwEAbSgt
2018-07-29T13:39:18+00:00,2012-06-26,The Work,NORDO,Air Traffic Controller,spotify:track:4IiKRgoiLYJHbvD2PuLbE3
2018-07-29T13:27:01+00:00,2017-06-23,Doubt,Echo Papa,Air Traffic Controller,spotify:track:6ucXfYkm5ZYf33CUrjzlI1
2018-07-29T13:21:52+00:00,2017-06-23,It's You,Echo Papa,Air Traffic Controller,spotify:track:4wWDE86JgbRNekFVcN859K
2018-07-29T13:18:37+00:00,2016-03-11,This Is Love,Black Box,Air Traffic Controller,spotify:track:2cls4groLeYT1zmlXN1pO2
2018-07-29T13:15:20+00:00,2007-12-14,Kids,Oracular Spectacular,MGMT,spotify:track:1jJci4qxiYcOHhQR247rEU
2018-07-28T23:02:19+00:00,2012-06-26,You Know Me,NORDO,Air Traffic Controller,spotify:track:099TPpEaCSjEwysWZeTZv1
2018-07-27T02:59:06+00:00,2018-05-09,Quarter Past Midnight,Quarter Past Midnight,Bastille,spotify:track:1etiUDkISHELzQGMY79ryt
2018-07-26T12:19:08+00:00,2016-03-11,Creature of the Night,Black Box,Air Traffic Controller,spotify:track:1OvOjcaX5lvlxVxYxhRkom
2018-07-18T01:19:13+00:00,2018-07-17,Natural,Natural,Imagine Dragons,spotify:track:4zIO3ilp5HvTeK3HJHxhMP
2018-07-15T02:36:27+00:00,1971-11-26,Roundabout - 2003 Remaster,Fragile (Deluxe Edition),Yes,spotify:track:0YveezON7jpiaHA8fnUHxN
2018-07-14T23:52:17+00:00,2010-01-01,Sailboats,An Airplane Carried Me To Bed,Sky Sailing,spotify:track:5E4aDiT6qo8bKLFl26euBS
2018-07-13T23:06:16+00:00,2011-12-09,I'll Follow You into the Dark,I'll Follow You into the Dark,Jay Skot,spotify:track:6xpvWQ4L56OBun3HRAk0F7
2018-07-13T22:18:19+00:00,2012-06-16,Travelling,At Long Creek,Paper Lions,spotify:track:0BqlU7mN83X4jQlfzM3Z3i
2018-07-13T22:15:58+00:00,2015-04-14,New Earth,Darling,Zerbin,spotify:track:1h0s7T7viIHrE5lOXAHlIn
2018-07-13T22:06:55+00:00,2016-04-01,This December,Montgomery Ricky,Ricky Montgomery,spotify:track:1OIQJBBqqYBSc7K0gTfsFz
2018-07-09T02:07:50+00:00,2007-01-01,"I've Just Seen A Face - From ""Across The Universe"" Soundtrack",Across The Universe (Deluxe),Jim Sturgess,spotify:track:2UKeWlHMG0ednWTNhYsyvn
2018-07-09T01:58:13+00:00,2013-01-01,Sail Into The Sun,Sail Into The Sun,Gentlemen Hall,spotify:track:74jb1KjK0hFgMWT9HGBWzs
2018-07-08T17:20:42+00:00,2014-01-13,On Your Own,The Maze,The Maze,spotify:track:2zzAZD3oDdCUohwLIIkBEr
2018-07-08T17:13:49+00:00,2013-01-29,Young,Low Wishes,Air Review,spotify:track:3SUnB496wZdR3cpSoI9KK0
2018-07-08T15:21:52+00:00,2009-11-15,I Know You Know Me,I Know You Know Me,The Tease,spotify:track:17KsfpInZ0UWg5LxUgH4rd
2018-07-07T22:47:09+00:00,2016-12-02,Something About Her,Something About Her,The Kents,spotify:track:6Ac49LArbt77XxUS0vVgh6
2018-07-07T20:32:44+00:00,2006-07-11,Dog Problems,Dog Problems (Bonus Track Version),The Format,spotify:track:5Oq4KDHCqCpbo2E8PBqTAA
2018-07-07T13:05:07+00:00,2013,The Woodpile,Pedestrian Verse,Frightened Rabbit,spotify:track:5Zt5q2j5OEdcR3HtwxivZQ
2018-07-07T04:52:41+00:00,2014-06-05,Rules,Last Station + Rules,Nat & Alex Wolff,spotify:track:5rOKRYR4MkmHmKlOqY5PbL
2018-07-04T00:51:35+00:00,2018-06-29,Magic City,The Now Now,Gorillaz,spotify:track:6zGTjEZ2zpLbl5Ij7vzTsi
2018-07-03T21:01:14+00:00,2018-06-29,Humility (feat. George Benson),The Now Now,Gorillaz+George Benson,spotify:track:3NeiYiBn3rQBgurfVk92Zm
2018-07-01T20:23:05+00:00,2003-10-28,Reptilia,Room On Fire,The Strokes,spotify:track:57Xjny5yNzAcsxnusKmAfA
2018-06-28T16:59:04+00:00,2016-01-15,"The Good, the Bad and the Dirty",Death of a Bachelor,Panic! At The Disco,spotify:track:5eoZTdiq4C4aoEfUwAN0ha
2018-06-27T19:53:46+00:00,2018-06-22,High Hopes,Pray for the Wicked,Panic! At The Disco,spotify:track:1rqqCSm0Qe4I9rUvWncaom
2018-06-27T18:38:08+00:00,2013-01-08,Migraine,Vessel (with Bonus Tracks),Twenty One Pilots,spotify:track:1X4DF3q5k1LPpTP4ZnpL96
2018-06-27T13:13:32+00:00,2015-07-10,Keep Together,Ready For You,Hunter Hunted,spotify:track:6wdzLY3TTwx7zVnMmj8Z8R
2018-06-27T13:10:31+00:00,2010-01-01,Nice Try,Sun Comes Up Again,I Am Arrows,spotify:track:3pqk3OuPBFZcpzTIut2flV
2018-06-27T11:54:00+00:00,2015-02-03,Fix My Eyes - Radio Version,Fix My Eyes (Radio Version),for KING & COUNTRY,spotify:track:5yKOnL7KlEfKYeKtmbjtVT
2018-06-27T11:49:58+00:00,2013-01-25,Open Season,Open Season,High Highs,spotify:track:26gqzV9hj9rMBTxanzyB8l
2018-06-27T00:51:22+00:00,1994-01-01,Send Me On My Way,When I Woke,Rusted Root,spotify:track:6XK6Zw6JkFsHXzAcMWNiIr
2018-06-26T17:10:07+00:00,2013-01-01,Who We Are - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),Imagine Dragons,spotify:track:77PBYdMupXbouxTt9kIi6e
2018-06-26T17:09:45+00:00,2013-01-01,Gale Song - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),The Lumineers,spotify:track:11Oflzf2BzLlU912hF6yOT
2018-06-26T17:09:29+00:00,2013-01-01,Silhouettes - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),Of Monsters and Men,spotify:track:2QMLICqo5TTiPv4BPD3N5t
2018-06-26T17:09:07+00:00,2013-01-01,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Atlas (From “The Hunger Games: Catching Fire” Soundtrack),Coldplay,spotify:track:2DI0fZ4QZmLtapszYaoG6F
2018-06-21T02:53:56+00:00,2006-11-01,Funky Fanfare,The Kpm 1000 Series - Volume 1,Keith Mansfield,spotify:track:3Vr406z58yyyO2Ofh1fbqA
2018-06-20T21:55:04+00:00,2012-10-09,Forest Whitaker,II,Bad Books,spotify:track:28eTONaWJyd0Jbnkb7xaDO
2018-06-17T15:10:01+00:00,2015-03-10,Geronimo,Bombs Away,Sheppard,spotify:track:19cL3SOKpwnwoKkII7U3Wh
2018-06-16T14:47:39+00:00,2014-10-24,Let's Get Started,Adventures In Real Time,Dylan Gardner,spotify:track:0mGeaxNzBIm0vMNjxKX5Xs
2018-06-16T14:15:40+00:00,2010-09-10,Rock It,Midnight Remember,Little Red,spotify:track:2uVvdA2rIdY1kSO1khtEkg
2018-06-16T13:44:13+00:00,2015-02-13,Flying Away,Bombs Away (Deluxe),Sheppard,spotify:track:7fJHL1Ki5nPEUCJdYBOyzU
2018-06-09T02:40:00+00:00,2013-03-05,Lightning Tent,On The Heart,Wildlife,spotify:track:7ws1xe17LjDmkqw9wba5WB
2018-06-09T02:22:06+00:00,2017-09-05,Flawed Recording,Fools,The Other Favorites,spotify:track:0LPtFrlO3TvT754mX9EqOQ
2018-06-09T02:18:01+00:00,2011-09-02,Tongue Tied,Never Trust a Happy Song,Grouplove,spotify:track:0GO8y8jQk1PkHzS31d699N
2018-06-09T02:17:10+00:00,2012-09-18,Matilda,An Awesome Wave,alt-J,spotify:track:3aA5fk4c6a7e5HM4rJqkSF
2018-06-09T01:34:42+00:00,2017-06-09,Sweet Adeline,Sage and Stone,Avriel & the Sequoias,spotify:track:187p9sYxulKvYvR7YP5rGw
2018-06-08T17:06:56+00:00,2017-09-29,Golden Dandelions,The Attractions Of Youth,Barns Courtney,spotify:track:2vExSKodf34Sob0TalWizj
2018-06-08T16:57:24+00:00,2011-07-13,Strange Charm,Ellen Hardcastle,Hank Green,spotify:track:3wO8ylU6QZmu4K7LfSYvHH
2018-06-08T16:52:07+00:00,2015-06-09,Make This Leap,Those Younger Days,The Hunts,spotify:track:0BGM5wPT4L0KNKrf3WsMkn
2018-06-08T00:53:21+00:00,2003-01-01,I Miss You,blink-182,blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw
2018-06-08T00:39:35+00:00,2002-09-27,Superman,All The Time In The World,Lazlo Bane,spotify:track:19nAFg6Mb6jXN3yxPC2sSk
2018-06-07T17:19:42+00:00,2017-12-08,Gonna Lay Here (A While),Into The Storm,Jesse Walton,spotify:track:7pcKy1vjOtZkL3cPoQ8lWF
2018-05-27T13:38:52+00:00,1985-05-13,Love Vigilantes - 2015 Remaster,Low-Life,New Order,spotify:track:1gsQmDnyXfq6jPIXYCPKHB
2018-05-26T14:43:20+00:00,2005-06-21,Nuisance (feat. Matthew Thiessen),The Boy vs the Cynic,John Reuben+Matthew Thiessen,spotify:track:5UsZ08I8nEYa5c45zKzsHe
2018-05-25T01:37:22+00:00,2014-08-25,Figure It Out,Royal Blood,Royal Blood,spotify:track:6V0A3jkb9ntudO0kmcJ1xd
2018-05-25T01:33:26+00:00,2013-01-01,These Streets,Bad Blood,Bastille,spotify:track:2nlkMPkXDq3Ji9kEPEvbJN
2018-05-24T18:17:12+00:00,1988,Then I Met You,Sunshine on Leith,The Proclaimers,spotify:track:6qcCyYolb7SH21nWfJqONT
2018-05-24T17:54:41+00:00,2008-09-29,Swim,The Glass Passenger,Jack's Mannequin,spotify:track:08hh1QNXTUJ6cD9zEZ798r
2018-05-24T17:50:33+00:00,2015-06-04,Mercy,Drones,Muse,spotify:track:2qkmPUG7ARsRwhVICQVwQS
2018-05-24T17:47:30+00:00,2015-06-02,Eden,Chef'Special,Chef'Special,spotify:track:75j9cfwazjVeinz9Co9fY2
2018-05-22T01:51:33+00:00,2017-09-08,Pumped Up,Pumped Up,Klingande,spotify:track:6lFbdi743kgerMZDjSqbuA
2018-05-21T01:32:39+00:00,2014-09-19,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,Prayer,Robin Schulz+Jasmine Thompson,spotify:track:6UO755OcSvOPVVZOaJVH7v
2018-05-17T11:23:23+00:00,2013-04-19,Sweater Weather,I Love You.,The Neighbourhood,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6
2018-05-16T18:42:55+00:00,2017-08-11,Silence,Silence,Marshmello+Khalid,spotify:track:7vGuf3Y35N4wmASOKLUVVU
2018-05-16T14:21:23+00:00,2009-09-15,Sorry - Live @ Lowlands 2009,Sorry (Live @ Lowlands 2009),Kyteman,spotify:track:3MpwhwLEQx19iM7QIAMGip
2018-05-16T03:20:12+00:00,2011-09-16,Not Over You,Sweeter,Gavin DeGraw,spotify:track:6j7hih15xG2cdYwIJnQXsq
2018-05-16T02:38:03+00:00,2018-02-23,I'm with You,Nation of Two,Vance Joy,spotify:track:6Qwuw0eOeszVlewLpu24gR
2018-05-16T02:24:54+00:00,2006-01-01,Chasing Cars,Eyes Open,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ
2018-05-16T02:17:37+00:00,2000-09-26,Superman (It's Not Easy),America Town,Five For Fighting,spotify:track:3TwtrR1yNLY1PMPsrGQpOp
2018-05-16T01:15:21+00:00,2011-11-04,People Help the People,Birdy,Birdy,spotify:track:0YywjDvFudcaHG74NuWISy
2018-05-16T01:13:19+00:00,2014-09-09,Mess Is Mine,Dream Your Life Away (Special Edition),Vance Joy,spotify:track:29jtZGdgpE2lWm2mkIt6HS
2018-05-15T19:36:24+00:00,2018-04-12,Life On Earth,Life On Earth,Snow Patrol,spotify:track:3FQr4G1zOCAoy9NuZqS85O
2018-05-10T14:19:39+00:00,1995,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,spotify:track:5QLHGv0DfpeXLNFo7SFEy1
2018-05-05T02:45:25+00:00,1989-01-01,La vie en rose - Single Version,The Best Of The Decca Years Volume One: The Singer,Louis Armstrong,spotify:track:1UH4viviUjZnS9aWgPGrk0
2018-05-04T11:54:37+00:00,1982-01-01,One,The Best Of 3 Dog Night,Three Dog Night,spotify:track:4KkGTqja19AHqItq3XBV3C
2018-04-29T16:43:49+00:00,2016-09-19,Epoch - The Living Tombstone Remix,Neon : Remixes,Savlonic,spotify:track:5ii47WNgG31ZYDMlGkIfmU
