added at,release date,name,album,artist(s),id
2019-04-04T01:28:57+00:00,2014-10-07,Chasin' Honey,Phantom Pop,Wild Party,spotify:track:0Z0iYAtKYswMYXL3kJtdO4
2019-04-04T01:15:06+00:00,2018-03-30,Fred Astaire,Off To The Races,Jukebox The Ghost,spotify:track:6JgXQTdqLL1xS5qfqOGVNb
2019-04-03T21:07:35+00:00,2006-01-01,Hate Me,Foiled,Blue October,spotify:track:1tL40tfdtUaSLek4DvDDr3
2019-04-03T21:03:24+00:00,2006-01-01,Into The Ocean,Foiled,Blue October,spotify:track:2SiqlgLMfKQbczSMRp8drY
2019-03-31T05:15:48+00:00,1994-02-01,Basket Case,Dookie,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s
2019-03-31T00:33:54+00:00,2018-03-30,See You Soon,Off To The Races,Jukebox The Ghost,spotify:track:4nUrj6NdX8RwxcgMk224fZ
2019-03-30T20:43:51+00:00,2018-03-30,Simple As 1 2 3,Off To The Races,Jukebox The Ghost,spotify:track:5abLkGAku8rrvyMNUjX4pO
2019-03-30T20:36:54+00:00,2018-03-30,People Go Home,Off To The Races,Jukebox The Ghost,spotify:track:3UKyDZpAUxHtSPzFU6nRLl
2019-03-30T19:41:26+00:00,2018-03-30,Everybody's Lonely,Off To The Races,Jukebox The Ghost,spotify:track:4C8gET0YDJU473cLC3rYIG
2019-03-30T19:24:53+00:00,2018-03-30,Boring,Off To The Races,Jukebox The Ghost,spotify:track:0vspVIlXJTFoAQAm7497gG
2019-03-29T19:38:05+00:00,2018-03-30,Colorful,Off To The Races,Jukebox The Ghost,spotify:track:4KsNm9WbBx5E7qw8ebru5l
2019-03-29T19:37:58+00:00,2018-03-30,Time And I,Off To The Races,Jukebox The Ghost,spotify:track:2f8ArcUY0eBuX09Lq070Mf
2019-03-29T18:41:34+00:00,2018-03-30,Jumpstarted,Off To The Races,Jukebox The Ghost,spotify:track:6eW5CV54WFEsX0lklO3BPO
